ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output
11,what is ciprodex?,Ciprofloxacin and dexamethasone otic is used to treat outer ear infections in adults and children and acute (suddenly occurring) middle ear infections in children with ear tubes. Ciprofloxacin is in a class of medications called quinolone antibiotics. Dexamethasone is in a class of medications called corticosteroids. The combination of ciprofloxacin and dexamethasone works by killing the bacteria that cause infection and reducing swelling in the ear.,"Ciprodex is the brand name for Ciprofloxacin and Dexamethasone Otic suspension. It is a medication in the class of Quinolone antibiotics. Ciprodex is used twice a day for 7 days and should be stored away from heat and moisture. It may cause side effects such as hives, hoarseness, rash, swelling, difficulty breathing, itching, difficulty swallowing, ear discomfort, and pain. If severe side effects occur, discontinuation of Ciprodex may be necessary. Ciprodex is not compatible with certain medications including Cinoxacin, Enoxacin, Levofloxacin, and others.","['Ciprofloxacin and Dexamethasone Otic  has brand name  Ciprodex®', 'Ciprofloxacin  is in class  Quinolone antibiotics', 'Ciprofloxacin and Dexamethasone Otic  comes as  Suspension', 'Ciprofloxacin and Dexamethasone Otic  requires  Specific dosage for effectiveness', 'Ciprofloxacin and Dexamethasone Otic  may require  Discontinuation if severe side effects occur', 'Ciprofloxacin and Dexamethasone Otic  used  Twice a day', 'Ciprofloxacin and Dexamethasone Otic  used for  7 days', 'Ciprofloxacin and Dexamethasone Otic  not compatible with  Cinoxacin  Ciprofloxacin  Dexamethasone  Enoxacin  Gatifloxacin  Gemifloxacin  Levofloxacin  Lomefloxacin  Moxifloxacin  Nalidixic acid  Norfloxacin  Ofloxacin  Sparfloxacin  Trovafloxacin and Alatrofloxacin', 'Ciprofloxacin and Dexamethasone Otic  stored away from  Heat and moisture', 'Ciprofloxacin and Dexamethasone Otic  may cause  Hives  Hoarseness  Rash  Swelling  Difficulty breathing  Itching  Difficulty swallowing  Ear discomfort  Pain']"
12,why codeine,"Codeine is used to relieve mild to moderate pain. It is also used, usually in combination with other medications, to reduce coughing. Codeine will help relieve symptoms but will not treat the cause of symptoms or speed recovery. Codeine belongs to a class of medications called opiate (narcotic) analgesics and to a class of medications called antitussives. When codeine is used to treat pain, it works by changing the way the brain and nervous system respond to pain. When codeine is used to reduce coughing, it works by decreasing the activity in the part of the brain that causes coughing.","Codeine may cause constipation, life-threatening breathing problems in children under 18, serious breathing problems during the first 24 to 72 hours, dizziness, lightheadedness, and fainting. It may also decrease fertility in men and women and interact with St. John's wort and tryptophan.","['Codeine  may be habit forming  with prolonged use', 'Codeine  may cause  constipation  life threatening breathing problems in children under 18  serious breathing problems during first 24 to 72 hours  dizziness lightheadedness and fainting', 'Codeine  may decrease  fertility in men and women', ""Codeine  may interact with  St. John's wort and tryptophan""]"
13,what is ketorolac eye drops,Ophthalmic ketorolac is used to treat itchy eyes caused by allergies. It also is used to treat swelling and redness (inflammation) that can occur after cataract surgery. Ketorolac is in a class of medications called nonsteroidal anti-inflammatory drugs (NSAIDs). It works by stopping the release of substances that cause allergy symptoms and inflammation.,"Ketorolac Ophthalmic is a nonsteroidal anti-inflammatory drug that comes as a solution. It is used to treat itchy eyes, redness, and inflammation. Ketorolac Ophthalmic works by stopping the release of substances causing allergy symptoms. It should not be taken with aspirin, ibuprofen, or naproxen. Ketorolac Ophthalmic is typically used after cataract surgery. However, it may cause side effects such as difficulty breathing, blurry vision, redness or swelling of eyes, skin rash, and stinging and burning of the eyes. If side effects occur, discontinuation may be necessary.","['Ketorolac Ophthalmic  requires  Specific dosage for effectiveness', 'Ketorolac Ophthalmic  comes as  Solution', 'Ketorolac Ophthalmic  is in class  Nonsteroidal anti inflammatory drugs', 'Ketorolac Ophthalmic  is used to treat  Itchy eyes  Redness  Inflammation', 'Ketorolac Ophthalmic  may require  Discontinuation if side effects occur', 'Ketorolac Ophthalmic  works by  Stopping release of substances causing allergy symptoms', 'Ketorolac Ophthalmic  should not be taken with  Aspirin  Ibuprofen  Naproxen', 'Ketorolac Ophthalmic  is used after  Cataract surgery', 'Ketorolac Ophthalmic  may cause  Difficulty breathing  Blurry vision  Redness or swelling of eyes  Skin rash  Stinging and burning of the eyes', 'Diclofenac eye drops  should be used  Exactly as directed']"
14,why to take vicodin,Hydrocodone is used to relieve severe pain. Hydrocodone is only used to treat people who are expected to need medication to relieve severe pain around-the-clock for a long time and who cannot be treated with other medications or treatments. Hydrocodone extended-release (long-acting) capsules or extended-release tablets should not be used to treat pain that can be controlled by medication that is taken as needed.,"Hydrocodone, which is a component of Vicodin, should be taken exactly as directed by the doctor. It should not be crushed, broken, or chewed. Vicodin is used for pain relief and may require discontinuation if severe side effects occur. It can be habit-forming with prolonged use. Acetaminophen, another component of Vicodin, should be taken exactly as directed on the prescription or package label. It is available in various forms including tablets, capsules, and suspensions.","['Hydrocodone  should be taken  Exactly as directed by doctor', 'Hydrocodone  should be disposed  Through a take back program if no longer needed', 'Acetaminophen  should be taken  Exactly as directed on prescription or package label', 'Hydrocodone  should not be  Crushed broken or chewed', 'Hydrocodone  may require  Discontinuation if severe side effects occur', 'Hydrocodone  should not be taken  By breastfeeding mothers  With alcohol or street drugs', 'Hydrocodone  may interact  With other medications causing serious side effects', 'Hydrocodone  can be  Habit forming with prolonged use', 'Acetaminophen  available as  Various forms including Tablet Capsule Suspension etc.', 'Acetaminophen  is in class  Analgesics and Antipyretics']"
15,what three trade names were gven inthis chapter for this generic drug about hydrochlorothiazide,Esidrix®¶    Hydrodiuril®¶    Microzide®    Oretic®    Zide®¶,"The three trade names given for the generic drug hydrochlorothiazide are Esidrix, Hydrodiuril, and Microzide.","['Hydrochlorothiazide  comes as  Tablet  Solution  Capsule', 'Hydrochlorothiazide  is in class  Diuretics', 'Hydrochlorothiazide  is used to prevent  Kidney stones', 'Hydrochlorothiazide  is a type of  Diuretic', 'Hydrochlorothiazide  causes kidneys to eliminate  Unneeded water and salt', 'Hydrochlorothiazide  is used to treat  Edema  Diabetes insipidus  High blood pressure', 'Hydrochlorothiazide  has brand name  Esidrix  Hydrodiuril  Microzide  Oretic  Zide', 'Hydrochlorothiazide  should be stored at  Room temperature', 'Hydrochlorothiazide  should be stored away from  Heat and moisture', 'Hydrochlorothiazide  has side effect  Hair loss  Frequent urination  Diarrhea  Dizziness  Fainting  Headache  Loss of appetite  Lightheadedness']"
16,has lisinopril been taken off the market?,This branded product is no longer on the market. Generic alternatives may be available.,"No, lisinopril has not been taken off the market. It is still available and used to control high blood pressure, treat heart failure, improve survival after a heart attack, and belongs to the class of ACE inhibitors.","['Lisinopril  controls  high blood pressure but is not a cure', 'Lisinopril  is used to treat  heart failure in combination with other medications  high blood pressure in adults and children 6 years and older', 'Lisinopril  belongs to class  ACE inhibitors', 'Lisinopril  is used to improve  survival after a heart attack', 'Lisinopril  may cause  side effects', 'Lisinopril  should be stored  in original container at room temperature', 'ACE inhibitors  work by  decreasing chemicals that tighten blood vessels', 'Patient with heart failure  should not take  Cyclobenzaprine', 'Heart attack or stroke  may happen  without warning', 'Heart dysfunction  requires  Monitoring by doctor']"
17,how is guanfacine classified,Guanfacine is in a class of medications called centrally acting alpha2A-adrenergic receptor agonists.,Guanfacine is classified as a Centrally acting alpha2A adrenergic receptor agonist.,"['Guanfacine tablets  are used to treat  High blood pressure', 'Guanfacine  relaxes  Blood vessels', 'Guanfacine  may require  discontinuation if severe side effects occur', 'Guanfacine  should not be taken with  High fat meal', 'Guanfacine  is used to treat  High blood pressure  ADHD', 'Guanfacine  is a class of  Centrally acting alpha2A adrenergic receptor agonists', 'Guanfacine  should be taken at  Bedtime', 'Guanfacine  has brand name  Intuniv  Tenex', 'Guanfacine  ensures  effectiveness if taken as directed', 'Guanfacine  decreases  Heart rate']"
18,how to pronounce chlordiazepoxide,pronounced as (klor dye az e pox' ide),Chlordiazepoxide is pronounced as: klor-dye-az-eh-pox-ide.,"['Chlordiazepoxide  comes as  Tablet  Capsule', 'Chlordiazepoxide  is used to relieve  Anxiety', 'Chlordiazepoxide  is used to control  Agitation caused by alcohol withdrawal', 'Chlordiazepoxide  is in combination product  Limbitrol  Menrium', 'Chlordiazepoxide  is in class  Benzodiazepines', 'Chlordiazepoxide  may increase risk of  Breathing problems  Coma  Sedation', 'Chlordiazepoxide  can cause false results in  Gravindex pregnancy test', 'Chlordiazepoxide  should not be taken with  Codeine  Fentanyl  Hydrocodone  Hydromorphone  Meperidine  Methadone  Morphine  Oxycodone  Tramadol', 'Chlordiazepoxide  may cause  Diarrhea  Dizziness  Fever  Rash  Appetite changes  Blurred vision  Constipation  Drowsiness  Dry mouth  Excitement  Irregular heartbeat  Physical dependence  Restlessness  Sex drive changes  Tiredness  Tremor  Upset stomach  Urination difficulty  Weakness  Withdrawal symptoms  Yellowing skin', 'Chlordiazepoxide  has brand name  A poxide  Chlordiazachel  H Tran  Librax  Librelease  Libritabs  Librium  Lygen  Mitran  Poxi']"
19,how long does it take cefuroxime axetil to work,"You should begin to feel better during the first few days of treatment with cefuroxime. If your symptoms do not improve or get worse, call your doctor. Take cefuroxime until you finish the prescription, even if you feel better. If you stop taking cefuroxime too soon or skip doses, your infection may not be completely treated, and the bacteria may become resistant to antibiotics.",Cefuroxime should be taken every 12 hours for 5 to 10 days. It is important to take it until the prescription is finished to ensure effectiveness in treating bacterial infections.,"['Cefuroxime  should be taken until  prescription is finished', 'Cefuroxime  should be taken  every 12 hours for 5 10 days', 'Cefuroxime  should be taken at  the same times every day', 'Cefuroxime  should not be taken more or less than  prescribed by doctor', 'Cefuroxime  may require  discontinuation if side effects occur', 'Cefuroxime  is used to treat  bacterial infections', 'Cefuroxime  decreases effectiveness of  oral contraceptives', 'Cefuroxime  is ineffective against  viral infections', 'Cefuroxime  may interact with  cimetidine famotidine omeprazole ranitidine', 'Cefuroxime  may cause  nausea vomiting diarrhea']"
20,what foods should a person taking warfarin eat,"Eat a normal, healthy diet. Some foods and beverages, particularly those that contain vitamin K, can affect how warfarin works for you. Ask your doctor or pharmacist for a list of foods that contain vitamin K. Eat consistent amounts of vitamin K-containing food on a week-to-week basis. Do not eat large amounts of leafy, green vegetables or certain vegetable oils that contain large amounts of vitamin K. Be sure to talk to your doctor before you make any changes in your diet. Talk to your doctor about eating grapefruit and drinking grapefruit juice while taking this medication.","A person taking warfarin should eat a consistent amount of foods high in Vitamin K, as Vitamin K may affect Warfarin effectiveness. It is important to maintain a balanced diet and consult with a healthcare provider for specific dietary recommendations while taking Warfarin, as Warfarin may cause severe bleeding.","['Vitamin K  may affect  Warfarin effectiveness', 'Warfarin  may cause  severe bleeding']"
21,"amiodarone for ""afib what"" are side effects","Amiodarone may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:
constipation
loss of appetite
headache
decreased sex drive
difficulty falling asleep or staying asleep
flushing
changes in ability to taste and smell
changes in amount of saliva
Some side effects can be serious. If you experience any of the following symptoms, or those listed in the IMPORTANT WARNING section, call your doctor immediately or get emergency medical treatment:
rash
weight loss or gain
restlessness
weakness
nervousness
irritability
intolerance to heat or cold
thinning hair
excessive sweating
changes in menstrual cycle
swelling in the front of the neck (goiter)
swelling of the hands, feet, ankles, or lower legs
uncontrollable shaking of a part of the body
decreased concentration
movements that you cannot control
poor coordination or trouble walking
numbness or tingling in the hands, legs, and feet
muscle weakness
Amiodarone may cause other side effects. Call your doctor if you have any unusual problems while taking this medication.

If you experience a serious side effect, you or your doctor may send a report to the Food and Drug Administration's (FDA) MedWatch Adverse Event Reporting program online (http://www.fda.gov/Safety/MedWatch) or by phone (1-800-332-1088).","Amiodarone may cause side effects such as constipation, headache, vision problems including permanent blindness, dizziness, drowsiness, and mental health changes. It is important to report any side effects to the FDA MedWatch Adverse Event Reporting program.","['Amiodarone  may worsen  arrhythmia or cause new arrhythmias', 'Amiodarone  is used to treat  serious ventricular arrhythmias', 'Amiodarone  may remain in  body for several months after discontinuation', 'Amiodarone  may interact with  numerous medications', 'Amiodarone  works by  relaxing overactive heart muscles', 'Amiodarone  may cause  fetal harm  lung damage that can be serious or life threatening  side effects such as constipation and headache  vision problems including permanent blindness', 'Side effects  should be reported to  FDA MedWatch Adverse Event Reporting program', 'Side effects  can be reported to  FDA MedWatch Adverse Event Reporting program', 'Side effects  may include  dizziness drowsiness and mental health changes', 'Patient with atrial fibrillation  is at higher risk of stroke if  stops taking Rivaroxaban']"
22,how to combine dapaliflozin with metformin,"Xigduo® XR (containing Dapagliflozin, Metformin)","To combine dapagliflozin with metformin, ensure that dapagliflozin is used with diet and exercise to lower blood sugar in type 2 diabetes. Metformin should be taken with meals and should not be split, chewed, or crushed if extended release. Metformin is part of various combination products like Actoplus Met, Avandamet, Janumet, etc. If severe side effects occur with metformin, it may require discontinuation.","['Dapagliflozin  is in class  Sodium glucose co transporter 2 SGLT2 inhibitors', 'Dapagliflozin  is not used to treat  Type 1 diabetes or diabetic ketoacidosis', 'Metformin  should not be split  chewed or crushed if extended release', 'Metformin  is part of combination product  Actoplus Met  Avandamet  Invokamet  Janumet  Jentadueto  Kazano  Kombiglyze XR  Metaglip  Prandimet  Qternmet XR  Segluromet  Synjardy  Trijardy  Xigduo XR  Zituvimet', 'Dapagliflozin  is used with  Diet and exercise to lower blood sugar in type 2 diabetes', 'Metformin  may require  discontinuation if severe side effects occur  specific dosage for effectiveness', 'Metformin  should be taken  with meals', 'Metformin  comes as  Solution  Extended release Tablet  Regular Tablet', 'Metformin  decreases absorption of  Glucose', 'Metformin  is used to treat  Type 2 Diabetes']"
23,why prozac used,"Fluoxetine (Prozac) is used to treat depression, obsessive-compulsive disorder (bothersome thoughts that won't go away and the need to perform certain actions over and over), some eating disorders, and panic attacks (sudden, unexpected attacks of extreme fear and worry about these attacks).","Prozac, also known as Fluoxetine, is used to treat Depression, Obsessive Compulsive Disorder, Eating Disorders, Panic Attacks, Premenstrual Dysphoric Disorder, and Bipolar I Disorder. It works by increasing serotonin levels in the brain. It should be discontinued if severe side effects occur and should not be taken with Thioridazine, MAO inhibitors, or Pimozide. It may require gradual dose reduction to prevent withdrawal symptoms.","['Fluoxetine  is also known as  Prozac  Prozac Weekly  Rapiflux  Sarafem  Selfemra', 'Fluoxetine  comes as  Delayed release capsule  Tablet  Solution  Capsule', ""Fluoxetine  may interact with  Tryptophan  St. John's wort"", 'Fluoxetine  should be discontinued if  Severe side effects occur', 'Fluoxetine  should not be taken with  Thioridazine  MAO inhibitors  Pimozide', 'Fluoxetine  works by  Increasing serotonin', 'Fluoxetine  is part of  Symbyax', 'Fluoxetine  is used to treat  Depression  Obsessive Compulsive Disorder  Eating Disorders  Panic Attacks  Premenstrual Dysphoric Disorder  Bipolar I Disorder', 'Antidepressants  may cause  Suicidal thoughts in young people', 'Fluoxetine  may require  Gradual dose reduction to prevent withdrawal']"
